source,target,edge_type
454920812,220780316,connected
220780316,454920812,connected
454920813,454920814,connected
454920814,454920813,connected
454920813,454920815,connected
454920815,454920813,connected
454920814,454920815,connected
454920815,454920814,connected
454920813,220780316,connected
220780316,454920813,connected
454920813,220780311,connected
220780311,454920813,connected
220780316,220780311,connected
220780311,220780316,connected
462909807,133599492,connected
133599492,462909807,connected
